model,control,false_id,control_id,distance
qwen3_8b,translation_control,zh_ja_027,zh_ja_common_017,19.0993685621441
gemma3_12b,true_friend,zh_ja_001,zh_ja_common_008,11.835567664171215
gemma3_12b,true_friend,zh_ja_002,zh_ja_common_007,22.859974102458384
gemma3_12b,true_friend,zh_ja_003,zh_ja_common_034,30.877924209668453
gemma3_12b,true_friend,zh_ja_006,zh_ja_common_018,25.744342890157117
gemma3_12b,true_friend,zh_ja_008,zh_ja_common_024,19.62216238603833
gemma3_12b,true_friend,zh_ja_009,zh_ja_common_027,23.160368442519104
gemma3_12b,true_friend,zh_ja_011,zh_ja_common_010,47.47282941009065
gemma3_12b,true_friend,zh_ja_012,zh_ja_common_016,69.35375235124854
gemma3_12b,true_friend,zh_ja_013,zh_ja_common_035,23.447515166197128
gemma3_12b,true_friend,zh_ja_014,zh_ja_common_015,18.95096813410734
gemma3_12b,true_friend,zh_ja_015,zh_ja_common_012,13.871740924881877
gemma3_12b,true_friend,zh_ja_016,zh_ja_common_000,18.21939161747553
gemma3_12b,true_friend,zh_ja_019,zh_ja_common_029,23.45156612162237
gemma3_12b,true_friend,zh_ja_020,zh_ja_common_031,24.910675495035946
gemma3_12b,true_friend,zh_ja_021,zh_ja_common_025,7.8819060323137045
gemma3_12b,true_friend,zh_ja_022,zh_ja_common_020,20.509418250483183
gemma3_12b,true_friend,zh_ja_023,zh_ja_common_019,15.993299632601422
gemma3_12b,true_friend,zh_ja_024,zh_ja_common_028,9.563121528419
gemma3_12b,true_friend,zh_ja_027,zh_ja_common_009,19.560450154463364
gemma3_12b,true_friend,zh_ja_028,zh_ja_common_014,27.87294090655529
gemma3_12b,translation_control,zh_ja_001,zh_ja_common_026,6.964862608612295
gemma3_12b,translation_control,zh_ja_002,zh_ja_common_021,20.808005938701555
gemma3_12b,translation_control,zh_ja_003,zh_ja_common_030,34.28744912941516
gemma3_12b,translation_control,zh_ja_008,zh_ja_common_011,23.200850889428796
gemma3_12b,translation_control,zh_ja_009,zh_ja_common_033,19.81586792888751
gemma3_12b,translation_control,zh_ja_013,zh_ja_common_039,24.163880634650035
gemma3_12b,translation_control,zh_ja_014,zh_ja_common_013,19.550534443364068
gemma3_12b,translation_control,zh_ja_015,zh_ja_common_048,10.370509543560896
gemma3_12b,translation_control,zh_ja_016,zh_ja_common_022,21.480982733297243
gemma3_12b,translation_control,zh_ja_019,zh_ja_common_023,23.22816013021489
gemma3_12b,translation_control,zh_ja_020,zh_ja_common_046,23.071619213294817
gemma3_12b,translation_control,zh_ja_021,zh_ja_common_032,11.021146553006163
gemma3_12b,translation_control,zh_ja_022,zh_ja_common_050,13.068571033793472
gemma3_12b,translation_control,zh_ja_023,zh_ja_common_047,14.606396302759766
gemma3_12b,translation_control,zh_ja_024,zh_ja_common_043,10.625369833545115
gemma3_12b,translation_control,zh_ja_027,zh_ja_common_017,19.831971478006373
