model,layer,group,effect,n_items,estimate,ci_low,ci_high,positive_rate
gemma3_12b,12,true_friend,signed_causal_rescue,20,0.020569777488708495,-0.0763736754655838,0.11571358218789095,0.5
gemma3_12b,16,false_friend,signed_causal_rescue,20,-0.004324612021446228,-0.026775915697216986,0.019324328079819673,0.4
gemma3_12b,16,monolingual_polysemy,signed_causal_rescue,20,-0.0035759091377258303,-0.03030157685279846,0.024521646201610552,0.4
gemma3_12b,16,translation_control,signed_causal_rescue,16,0.11852054297924042,-0.03502603136003017,0.2747532635927199,0.6875
gemma3_12b,16,true_friend,signed_causal_rescue,20,-0.0004612326622009277,-0.09602701932191848,0.08885393619537353,0.55
gemma3_12b,20,false_friend,signed_causal_rescue,20,-0.010794529318809509,-0.05590526521205902,0.03129467882215975,0.55
gemma3_12b,20,monolingual_polysemy,signed_causal_rescue,20,0.0003462255001068115,-0.03074854537844658,0.03261371910572051,0.5
gemma3_12b,20,translation_control,signed_causal_rescue,16,0.5243752226233482,0.2884887170046568,0.7799757588654755,0.8125
gemma3_12b,20,true_friend,signed_causal_rescue,20,0.24702741503715514,0.04850539296865464,0.42910068690776826,0.85
gemma3_12b,24,false_friend,signed_causal_rescue,20,0.08584096729755401,-0.02741480343043804,0.20532763049006458,0.65
gemma3_12b,24,monolingual_polysemy,signed_causal_rescue,20,0.035639488697052,-0.055411433577537535,0.13502243906259526,0.5
gemma3_12b,24,translation_control,signed_causal_rescue,16,1.4244547020643967,0.41358830961399484,2.420290967822075,0.75
gemma3_12b,24,true_friend,signed_causal_rescue,20,0.9415347665548325,0.2167318130284548,1.5940058855712413,0.65
gemma3_12b,28,false_friend,signed_causal_rescue,20,2.860210697352886,1.423246334604919,4.270933143272996,0.8
gemma3_12b,28,monolingual_polysemy,signed_causal_rescue,20,0.5699065506458283,0.20571822181344032,0.9796346440911284,0.75
gemma3_12b,28,translation_control,signed_causal_rescue,16,1.511394586414104,-0.7222469192929476,3.600524719804526,0.75
gemma3_12b,28,true_friend,signed_causal_rescue,20,1.2239941239356995,0.011841047704219856,2.4232953590154644,0.6
gemma3_12b,32,false_friend,signed_causal_rescue,20,5.001332716271281,3.2068879209551957,6.913650934463364,0.9
gemma3_12b,32,monolingual_polysemy,signed_causal_rescue,20,0.846905168890953,0.2735778684169054,1.5711107242107392,0.7
gemma3_12b,32,translation_control,signed_causal_rescue,16,1.8797809723764654,-0.9456776421517159,4.560689548216757,0.8125
gemma3_12b,32,true_friend,signed_causal_rescue,20,1.8321230798959731,0.31709221042692665,3.3433287891000503,0.6
gemma3_12b,36,false_friend,signed_causal_rescue,20,5.470702201873064,3.4914747353643176,7.444912805892525,0.9
gemma3_12b,36,monolingual_polysemy,signed_causal_rescue,20,0.8647891640663147,0.22149425804615022,1.6275188478827476,0.65
gemma3_12b,36,translation_control,signed_causal_rescue,16,2.045602044090666,-1.1311587840783603,4.934902575612065,0.75
gemma3_12b,36,true_friend,signed_causal_rescue,20,2.224007374048233,0.49403947427868844,3.9903520664572714,0.65
gemma3_12b,40,false_friend,signed_causal_rescue,20,5.6906982000917194,3.702597287818789,7.7301287860888985,0.85
gemma3_12b,40,monolingual_polysemy,signed_causal_rescue,20,0.9551301330327988,0.3226441386342049,1.718580488860606,0.7
gemma3_12b,40,translation_control,signed_causal_rescue,16,2.095336232334672,-1.293450368754266,5.109275758638978,0.6875
gemma3_12b,40,true_friend,signed_causal_rescue,20,2.743110144138336,0.764529987871647,4.821228954792022,0.6
gemma3_12b,44,false_friend,signed_causal_rescue,20,7.039517810940742,4.798818431943655,9.440312051102516,0.9
gemma3_12b,44,monolingual_polysemy,signed_causal_rescue,20,1.2270680665969849,0.5086631780862808,2.0745712637901303,0.75
gemma3_12b,44,translation_control,signed_causal_rescue,16,0.08923363138705875,-3.814020919023018,3.466082273051141,0.5
gemma3_12b,44,true_friend,signed_causal_rescue,20,2.216971492767334,-0.5058419938385486,5.000205865204334,0.6
gemma3_12b,47,false_friend,signed_causal_rescue,20,11.31387875676155,7.206233324110507,15.779615595340724,0.9
gemma3_12b,47,monolingual_polysemy,signed_causal_rescue,20,1.859461984038353,0.8384565105289221,3.130118718221782,0.8
gemma3_12b,47,translation_control,signed_causal_rescue,16,15.59357291256674,0.2691353181580784,29.783691095407256,0.6875
gemma3_12b,47,true_friend,signed_causal_rescue,20,17.303294253349303,6.111453722715378,28.639579298496244,0.7
qwen3_8b,0,false_friend,signed_causal_rescue,20,-0.007619189098477364,-0.027731973305344583,0.01325325467623769,0.4
qwen3_8b,0,monolingual_polysemy,signed_causal_rescue,20,-0.00919513702392578,-0.026172442436218264,0.007670890688896164,0.4
qwen3_8b,0,translation_control,signed_causal_rescue,16,0.01635487751718756,-0.11018730103969573,0.14354300129525646,0.4375
qwen3_8b,0,true_friend,signed_causal_rescue,20,-0.019739171387345777,-0.1040342307085632,0.06662555753465312,0.4
qwen3_8b,4,false_friend,signed_causal_rescue,20,-0.006811775080859661,-0.03697469148319214,0.019809424127452072,0.5
qwen3_8b,4,monolingual_polysemy,signed_causal_rescue,20,-0.005462843179702759,-0.02578620970249176,0.01708300665020935,0.35
qwen3_8b,4,translation_control,signed_causal_rescue,16,-0.0024634505853100563,-0.18451562237441976,0.17521324574499872,0.5
qwen3_8b,4,true_friend,signed_causal_rescue,20,0.19831022769360515,0.015973090828892967,0.3979613956465111,0.65
qwen3_8b,8,false_friend,signed_causal_rescue,20,-0.002909205108880997,-0.03702502613887191,0.027278312575072045,0.55
qwen3_8b,8,monolingual_polysemy,signed_causal_rescue,20,-0.007854270935058593,-0.027506110817193983,0.00956386044621467,0.55
qwen3_8b,8,translation_control,signed_causal_rescue,16,0.04696348117431626,-0.1377251696321764,0.22970543125411427,0.625
qwen3_8b,8,true_friend,signed_causal_rescue,20,0.1464548085221054,-0.056831723541098146,0.37130286459889245,0.6
qwen3_8b,12,false_friend,signed_causal_rescue,20,0.0017678774893283844,-0.0344054445438087,0.03496016772463916,0.55
qwen3_8b,12,monolingual_polysemy,signed_causal_rescue,20,-0.002414196729660034,-0.020812852084636686,0.017933998405933363,0.5
qwen3_8b,12,translation_control,signed_causal_rescue,16,0.08307982586507023,-0.162079446053167,0.3329233077577554,0.5
qwen3_8b,12,true_friend,signed_causal_rescue,20,0.14193963196162257,-0.09738604269869255,0.42418651558168785,0.6
qwen3_8b,16,false_friend,signed_causal_rescue,20,-0.009649549704045057,-0.05337891788454727,0.03494382781442253,0.5
qwen3_8b,16,monolingual_polysemy,signed_causal_rescue,20,-0.007462430000305176,-0.033985945135354995,0.015778410583734498,0.5
qwen3_8b,16,translation_control,signed_causal_rescue,16,-0.12967918621848185,-0.39994258321565895,0.1503419670821074,0.375
qwen3_8b,16,true_friend,signed_causal_rescue,20,0.07771319275038877,-0.16827172696392154,0.34304385513067215,0.45
qwen3_8b,20,false_friend,signed_causal_rescue,20,-0.002463653031736612,-0.09547327237203718,0.08451092835050074,0.3
qwen3_8b,20,monolingual_polysemy,signed_causal_rescue,20,-0.006942230463027954,-0.04378183662891388,0.026383011639118187,0.5
qwen3_8b,20,translation_control,signed_causal_rescue,16,-0.4871538879815489,-0.9523988932371139,-0.023913491459097838,0.375
qwen3_8b,20,true_friend,signed_causal_rescue,20,-0.12208008361304774,-0.47421646070789647,0.2117510517208662,0.4
qwen3_8b,24,false_friend,signed_causal_rescue,20,1.7979758395580574,0.8026726090459851,2.865838033772888,0.8
qwen3_8b,24,monolingual_polysemy,signed_causal_rescue,20,0.2268541067838669,-0.00858543694019317,0.4848604931682347,0.8
qwen3_8b,24,translation_control,signed_causal_rescue,16,-1.2699217995688032,-2.71836400271215,0.22366656155051579,0.3125
qwen3_8b,24,true_friend,signed_causal_rescue,20,-0.8727149371825818,-2.553844809160455,0.5837468158542706,0.5
qwen3_8b,28,false_friend,signed_causal_rescue,20,3.126105407625437,1.9798743297345938,4.385709145255387,0.9
qwen3_8b,28,monolingual_polysemy,signed_causal_rescue,20,0.6757012829184532,0.25500842180103067,1.1763322386518118,0.7
qwen3_8b,28,translation_control,signed_causal_rescue,16,-2.5878428026746274,-5.297947054927602,0.24491623326943404,0.25
qwen3_8b,28,true_friend,signed_causal_rescue,20,-2.178312951586342,-4.455109724658372,-0.08587609019967887,0.4
qwen3_8b,32,false_friend,signed_causal_rescue,20,3.3507598873227833,2.1550074452254924,4.571340432204306,0.9
qwen3_8b,32,monolingual_polysemy,signed_causal_rescue,20,0.8145053267478943,0.31232211112976077,1.3732060807943343,0.75
qwen3_8b,32,translation_control,signed_causal_rescue,16,-3.9485535048868368,-7.030279729701085,-1.0871234914918606,0.25
qwen3_8b,32,true_friend,signed_causal_rescue,20,-3.0658132612652778,-5.560383220765698,-0.7342186413423296,0.35
qwen3_8b,35,false_friend,signed_causal_rescue,20,2.2412052035331724,1.454203782826662,3.0758093869686127,0.85
qwen3_8b,35,monolingual_polysemy,signed_causal_rescue,20,0.5393234491348267,0.20690214037895205,0.8949469825625413,0.75
qwen3_8b,35,translation_control,signed_causal_rescue,16,-15.767224975843874,-18.851540906976403,-12.593726514687331,0.0
qwen3_8b,35,true_friend,signed_causal_rescue,20,-11.447167769897305,-14.48604799023883,-8.850633971530023,0.0
gemma3_12b,0,false_friend,semantic_main,20,0.02880157232284546,-0.018318107426166536,0.0745296077430247,0.55
gemma3_12b,0,false_friend,language_main,20,0.007261037826538086,-0.0795715668797493,0.09055208489298819,0.45
gemma3_12b,0,false_friend,language_x_semantics,20,0.08547079563140869,-0.01970263212919235,0.19982469767332076,0.55
gemma3_12b,4,false_friend,semantic_main,20,-0.041965055465698245,-0.09392577618360519,0.009487734436988766,0.3
gemma3_12b,4,false_friend,language_main,20,0.03941313028335571,-0.02650662049651146,0.10497300028800961,0.6
gemma3_12b,4,false_friend,language_x_semantics,20,0.036794734001159665,-0.08576164126396178,0.14064437478780742,0.6
gemma3_12b,8,false_friend,semantic_main,20,-0.018628787994384766,-0.07171387761831283,0.03796288162469862,0.35
gemma3_12b,8,false_friend,language_main,20,0.06261234283447266,0.00491872936487198,0.12470851689577103,0.65
gemma3_12b,8,false_friend,language_x_semantics,20,-0.00829765796661377,-0.12238317549228667,0.10397645711898788,0.5
gemma3_12b,12,false_friend,semantic_main,20,0.025305396318435668,-0.02938650697469711,0.08136941283941268,0.65
gemma3_12b,12,false_friend,language_main,20,0.014462095499038697,-0.06335794061422348,0.08163395643234252,0.6
gemma3_12b,12,false_friend,language_x_semantics,20,0.012643253803253174,-0.12904013454914093,0.1519747152924537,0.45
gemma3_12b,16,false_friend,semantic_main,20,-0.008649224042892456,-0.0543592694401741,0.03800792202353477,0.4
gemma3_12b,16,false_friend,language_main,20,0.04611894488334656,-0.01990248918533325,0.11172176793217659,0.6
gemma3_12b,16,false_friend,language_x_semantics,20,-0.06018251180648804,-0.1944324371218681,0.06394349902868256,0.5
gemma3_12b,20,false_friend,semantic_main,20,-0.021589058637619018,-0.11027865186333656,0.062138940095901464,0.55
gemma3_12b,20,false_friend,language_main,20,0.05014054179191589,-0.037871734648942945,0.1340917859971522,0.65
gemma3_12b,20,false_friend,language_x_semantics,20,-0.016667091846466066,-0.13966916769742965,0.1005248135328292,0.5
gemma3_12b,24,false_friend,semantic_main,20,0.17168193459510803,-0.06953695401549338,0.41031684793531886,0.65
gemma3_12b,24,false_friend,language_main,20,0.7460711538791657,0.28975205652415753,1.285644712373614,0.8
gemma3_12b,24,false_friend,language_x_semantics,20,-0.6558194875717163,-1.239408068805933,-0.11476402208209038,0.4
gemma3_12b,28,false_friend,semantic_main,20,5.720421394705772,2.8718832601606845,8.571442426666616,0.8
gemma3_12b,28,false_friend,language_main,20,6.402380660176277,3.8303519023209813,9.19964328691363,0.95
gemma3_12b,28,false_friend,language_x_semantics,20,-1.4580521762371064,-4.29382327452302,1.3090072749555088,0.5
gemma3_12b,32,false_friend,semantic_main,20,10.002665432542562,6.488143793251365,13.738055678512902,0.9
gemma3_12b,32,false_friend,language_main,20,10.188207022100688,6.758680620435626,13.987670944500712,0.95
gemma3_12b,32,false_friend,language_x_semantics,20,-1.7478111788630486,-5.536761758476496,1.9112961846962562,0.5
gemma3_12b,36,false_friend,semantic_main,20,10.941404403746128,7.1749967963993555,14.819751908257603,0.9
gemma3_12b,36,false_friend,language_main,20,11.606497599184513,7.431382975280285,16.102540113441645,1.0
gemma3_12b,36,false_friend,language_x_semantics,20,-2.9282647401094435,-7.779747860133648,1.7346084298938511,0.4
gemma3_12b,40,false_friend,semantic_main,20,11.381396400183439,7.229314996749163,15.450904322788118,0.85
gemma3_12b,40,false_friend,language_main,20,12.570524214953185,8.171858973819763,17.268419594466685,0.9
gemma3_12b,40,false_friend,language_x_semantics,20,-3.230103348195553,-8.230265338085593,1.3003762251511177,0.45
gemma3_12b,44,false_friend,semantic_main,20,14.079035621881484,9.653265012055636,18.73197454929352,0.9
gemma3_12b,44,false_friend,language_main,20,16.433256381750105,10.657964912950993,22.426571068763725,0.9
gemma3_12b,44,false_friend,language_x_semantics,20,-3.7204703211784365,-10.259703205525875,2.190237322151654,0.4
gemma3_12b,47,false_friend,semantic_main,20,22.6277575135231,14.34555195569992,31.35031874001026,0.9
gemma3_12b,47,false_friend,language_main,20,23.055576384067535,14.686609021425248,31.624804529249666,0.9
gemma3_12b,47,false_friend,language_x_semantics,20,-11.243103051185608,-23.33934670448303,0.3972777009010172,0.3
qwen3_8b,0,false_friend,semantic_main,20,-0.015238378196954727,-0.054614421799778934,0.025598447714000837,0.4
qwen3_8b,0,false_friend,language_main,20,-0.012208393961191177,-0.07948141336441039,0.05743679754436012,0.45
qwen3_8b,0,false_friend,language_x_semantics,20,-0.0646679386496544,-0.13695882454514502,0.006568942926823967,0.35
qwen3_8b,4,false_friend,semantic_main,20,-0.013623550161719322,-0.07310813420452178,0.03791404863819479,0.5
qwen3_8b,4,false_friend,language_main,20,0.12210107631981373,-0.07303878027014434,0.33511323495768,0.6
qwen3_8b,4,false_friend,language_x_semantics,20,0.05483207777142525,-0.04912642491981387,0.1561657220125198,0.7
qwen3_8b,8,false_friend,semantic_main,20,-0.005818410217761994,-0.07354716964066028,0.0556166004389524,0.55
qwen3_8b,8,false_friend,language_main,20,0.05533250495791435,-0.11269330248236657,0.2175936396606266,0.5
qwen3_8b,8,false_friend,language_x_semantics,20,-0.10207867622375488,-0.17367602378129957,-0.032297189831733714,0.25
qwen3_8b,12,false_friend,semantic_main,20,0.003535754978656769,-0.06684844847768545,0.06983824864029878,0.55
qwen3_8b,12,false_friend,language_main,20,0.08218743354082107,-0.12859542828053236,0.32266307324171034,0.5
qwen3_8b,12,false_friend,language_x_semantics,20,-0.08308933079242706,-0.26542984038591383,0.10163605526089656,0.4
qwen3_8b,16,false_friend,semantic_main,20,-0.019299099408090114,-0.10818940298166126,0.07110481780022378,0.5
qwen3_8b,16,false_friend,language_main,20,0.13932594414800406,-0.13258385041262954,0.42830956035293605,0.55
qwen3_8b,16,false_friend,language_x_semantics,20,-0.03651728294789791,-0.22559594720602033,0.17246565380133685,0.4
qwen3_8b,20,false_friend,semantic_main,20,-0.004927306063473224,-0.18449387103319168,0.16667890556156603,0.3
qwen3_8b,20,false_friend,language_main,20,0.2118977965787053,-0.18180774436332287,0.6609734452096745,0.45
qwen3_8b,20,false_friend,language_x_semantics,20,-0.23607538677752019,-0.41489171773195266,-0.06909374260343625,0.4
qwen3_8b,24,false_friend,semantic_main,20,3.595951679116115,1.6715599827468395,5.807738894267238,0.8
qwen3_8b,24,false_friend,language_main,20,3.1765135469380765,1.202854523435235,5.801675580004229,0.8
qwen3_8b,24,false_friend,language_x_semantics,20,1.3427122230641544,-0.3767313531041145,3.3891243067313908,0.65
qwen3_8b,28,false_friend,semantic_main,20,6.252210815250874,3.9893637657538057,8.666459423080086,0.9
qwen3_8b,28,false_friend,language_main,20,7.3246692851185795,4.294640634208918,10.751750843599437,0.95
qwen3_8b,28,false_friend,language_x_semantics,20,-1.1066735535860062,-4.0178159157931805,1.7773858641833054,0.35
qwen3_8b,32,false_friend,semantic_main,20,6.701519774645567,4.3211940936185425,9.215936814527954,0.9
qwen3_8b,32,false_friend,language_main,20,8.017981467396021,4.858582233730703,11.669196216166005,0.9
qwen3_8b,32,false_friend,language_x_semantics,20,-1.8129668340086937,-4.678053681515157,1.075005775354802,0.25
qwen3_8b,35,false_friend,semantic_main,20,4.482410407066345,2.8337767867743966,6.155255957841869,0.85
qwen3_8b,35,false_friend,language_main,20,4.678601539134979,2.7015748775005344,6.855315556526184,0.95
qwen3_8b,35,false_friend,language_x_semantics,20,-1.7061757087707519,-3.502658216953278,0.13044471144676031,0.3
gemma3_12b,0,monolingual_polysemy,semantic_main,20,0.02384793758392334,-0.02277716755867004,0.07607548058032983,0.45
gemma3_12b,4,monolingual_polysemy,semantic_main,20,0.03096017837524414,-0.0074011701345443725,0.06897658884525297,0.65
gemma3_12b,8,monolingual_polysemy,semantic_main,20,0.01618598699569702,-0.025830885171890257,0.06114389210939401,0.55
gemma3_12b,12,monolingual_polysemy,semantic_main,20,0.039874267578125,-0.02348602294921875,0.10974383234977712,0.6
gemma3_12b,16,monolingual_polysemy,semantic_main,20,-0.0071518182754516605,-0.061952664256095885,0.048407328128814694,0.4
gemma3_12b,20,monolingual_polysemy,semantic_main,20,0.000692451000213623,-0.060963416397571565,0.0668275451660156,0.5
gemma3_12b,24,monolingual_polysemy,semantic_main,20,0.071278977394104,-0.11027089536190032,0.25876554965972887,0.5
gemma3_12b,28,monolingual_polysemy,semantic_main,20,1.1398131012916566,0.4497343933582306,1.9671372556686402,0.75
gemma3_12b,32,monolingual_polysemy,semantic_main,20,1.693810337781906,0.5278672723472119,3.1277637475728985,0.7
gemma3_12b,36,monolingual_polysemy,semantic_main,20,1.7295783281326294,0.4430117559432984,3.3273526972532252,0.65
gemma3_12b,40,monolingual_polysemy,semantic_main,20,1.9102602660655976,0.5738183318078518,3.475592230409384,0.7
gemma3_12b,44,monolingual_polysemy,semantic_main,20,2.4541361331939697,0.9996113348007202,4.218323029279708,0.75
gemma3_12b,47,monolingual_polysemy,semantic_main,20,3.718923968076706,1.646937667876482,6.237075562179089,0.8
qwen3_8b,0,monolingual_polysemy,semantic_main,20,-0.01839027404785156,-0.05412167727947235,0.01647269725799559,0.4
qwen3_8b,4,monolingual_polysemy,semantic_main,20,-0.010925686359405518,-0.05102767139673233,0.03282257229089736,0.35
qwen3_8b,8,monolingual_polysemy,semantic_main,20,-0.015708541870117186,-0.05431537508964539,0.01967176765203476,0.55
qwen3_8b,12,monolingual_polysemy,semantic_main,20,-0.004828393459320068,-0.04187471717596054,0.03489672124385832,0.5
qwen3_8b,16,monolingual_polysemy,semantic_main,20,-0.014924860000610352,-0.06745115071535111,0.033464213013648984,0.5
qwen3_8b,20,monolingual_polysemy,semantic_main,20,-0.013884460926055909,-0.08772102743387222,0.05424821585416792,0.5
qwen3_8b,24,monolingual_polysemy,semantic_main,20,0.4537082135677338,-0.009317799210548395,0.9790797816216944,0.8
qwen3_8b,28,monolingual_polysemy,semantic_main,20,1.3514025658369064,0.4844049883633852,2.255116723626852,0.7
qwen3_8b,32,monolingual_polysemy,semantic_main,20,1.6290106534957887,0.6139470654726028,2.749811489582061,0.75
qwen3_8b,35,monolingual_polysemy,semantic_main,20,1.0786468982696533,0.4355847930908203,1.8035589158534995,0.75
gemma3_12b,0,true_friend,language_main,20,0.05097001791000366,-0.06261694937944412,0.17108666241168974,0.5
gemma3_12b,4,true_friend,language_main,20,0.05024329423904419,-0.06216424852609634,0.15143217921257004,0.55
gemma3_12b,8,true_friend,language_main,20,0.011541855335235596,-0.1130126866698265,0.14301213890314077,0.4
gemma3_12b,12,true_friend,language_main,20,0.1199711799621582,0.018346428871154785,0.22043269276618957,0.65
gemma3_12b,16,true_friend,language_main,20,-0.007237744331359863,-0.16554210603237152,0.13896786272525766,0.5
gemma3_12b,20,true_friend,language_main,20,-0.056892430782318114,-0.15981125444173813,0.048418377935886374,0.35
gemma3_12b,24,true_friend,language_main,20,0.1575719177722931,-0.23714901015162468,0.607538458108902,0.45
gemma3_12b,28,true_friend,language_main,20,1.2976670742034913,0.1540971772372723,2.481269489973783,0.65
gemma3_12b,32,true_friend,language_main,20,0.8924499809741974,-0.41286107286810875,2.199826048910617,0.55
gemma3_12b,36,true_friend,language_main,20,0.3867905497550964,-1.1096146303415297,1.8309771227836602,0.55
gemma3_12b,40,true_friend,language_main,20,0.4740062952041626,-1.2171073341369627,2.000109259188175,0.5
gemma3_12b,44,true_friend,language_main,20,1.5706534147262574,-1.2377409535646438,4.114195613861082,0.7
gemma3_12b,47,true_friend,language_main,20,2.878988003730774,-1.2072642236948012,7.359248641729355,0.5
qwen3_8b,0,true_friend,language_main,20,0.05579512654530845,-0.07020751479380123,0.17261585519033815,0.55
qwen3_8b,4,true_friend,language_main,20,0.06621159660949161,-0.16236678980299643,0.2816818489271849,0.45
qwen3_8b,8,true_friend,language_main,20,0.08160053444701135,-0.13775636167506436,0.30353919854845146,0.55
qwen3_8b,12,true_friend,language_main,20,0.4058931937021043,0.014723084121696957,0.7802443529616581,0.75
qwen3_8b,16,true_friend,language_main,20,0.5203878287738007,0.033326313774348366,0.9849126273161641,0.7
qwen3_8b,20,true_friend,language_main,20,0.5520696761155474,0.031599452551479966,1.0060779356816043,0.7
qwen3_8b,24,true_friend,language_main,20,1.2230989869686255,0.1694999505674878,2.38005809464493,0.6
qwen3_8b,28,true_friend,language_main,20,1.4399471044612118,-0.051678808033466944,3.000020389861918,0.65
qwen3_8b,32,true_friend,language_main,20,1.9636239410172238,0.16100079469518735,3.9290036687330234,0.6
qwen3_8b,35,true_friend,language_main,20,1.1155224163085222,-0.06900251576676963,2.55072289054282,0.6
gemma3_12b,0,translation_control,language_main,16,0.03487038612365723,-0.14995105639100076,0.21158373057842253,0.5
gemma3_12b,4,translation_control,language_main,16,0.11657658219337463,-0.0938543014228344,0.34145540148019754,0.6875
gemma3_12b,8,translation_control,language_main,16,0.1440226659178716,0.02336756587028326,0.27942069303244177,0.625
gemma3_12b,12,translation_control,language_main,16,-0.0312848836183548,-0.20665387362241744,0.15648347027599793,0.375
gemma3_12b,16,translation_control,language_main,16,0.04989659786224365,-0.1571902774274349,0.2858414113521574,0.4375
gemma3_12b,20,translation_control,language_main,16,0.020093783736228943,-0.2183642327785492,0.27746881656348704,0.5
gemma3_12b,24,translation_control,language_main,16,-0.26937637850642204,-0.7303248528391123,0.15917546637356267,0.375
gemma3_12b,28,translation_control,language_main,16,0.3639571592211652,-0.07007164806127904,0.8016683872789026,0.5625
gemma3_12b,32,translation_control,language_main,16,0.8756583295762521,0.08944274652748954,1.6609312479384226,0.75
gemma3_12b,36,translation_control,language_main,16,0.7486204840242086,-0.3488216144965614,1.8332348572087946,0.625
gemma3_12b,40,translation_control,language_main,16,0.7374987676733729,-0.25586555562971564,1.7017521396273347,0.625
gemma3_12b,44,translation_control,language_main,16,1.0966030915683405,-0.7507904943078756,2.8558216256108375,0.625
gemma3_12b,47,translation_control,language_main,16,3.845857930711645,0.021884346008300793,7.164975631071134,0.8125
qwen3_8b,0,translation_control,language_main,16,0.12532567974631093,0.02930563495383467,0.22817603535950184,0.75
qwen3_8b,4,translation_control,language_main,16,0.5002227386894447,0.22020666860044003,0.7768967531621455,0.8125
qwen3_8b,8,translation_control,language_main,16,0.4725139328484147,0.22055120852037363,0.7235412806272506,0.875
qwen3_8b,12,translation_control,language_main,16,0.923974059559896,0.5713049586122566,1.290052399039268,0.875
qwen3_8b,16,translation_control,language_main,16,1.2425210810129101,0.8644215087952375,1.582708941027522,0.9375
qwen3_8b,20,translation_control,language_main,16,1.0600866228369341,0.5886221092248206,1.4968127496540542,0.875
qwen3_8b,24,translation_control,language_main,16,1.6962772740564542,0.521839651139569,2.775071220519019,0.8125
qwen3_8b,28,translation_control,language_main,16,1.7025102141677202,0.20241549348555524,3.2552338993542667,0.8125
qwen3_8b,32,translation_control,language_main,16,2.36162203866731,0.743399290734614,4.031055237676116,0.875
qwen3_8b,35,translation_control,language_main,16,1.430216736780494,0.4695885636039748,2.4583924136484696,0.8125
gemma3_12b,0,false_friend,language_excess_vs_true_friend,20+20,-0.043708980083465576,-0.19242315828800202,0.09537198141217228,
gemma3_12b,0,false_friend,language_excess_vs_translation_control,20+16,-0.02760934829711914,-0.229096462726593,0.17980510413646686,
gemma3_12b,4,false_friend,language_excess_vs_true_friend,20+20,-0.010830163955688477,-0.1319068115949631,0.11986962527036646,
gemma3_12b,4,false_friend,language_excess_vs_translation_control,20+16,-0.07716345191001892,-0.30533795773983,0.14771217435598372,
gemma3_12b,8,false_friend,language_excess_vs_true_friend,20+20,0.051070487499237066,-0.09338707953691482,0.19204412043094604,
gemma3_12b,8,false_friend,language_excess_vs_translation_control,20+16,-0.08141032308339895,-0.22124717660248103,0.05585973802954134,
gemma3_12b,12,false_friend,language_excess_vs_true_friend,20+20,-0.1055090844631195,-0.23271985411643983,0.01554930508136743,
gemma3_12b,12,false_friend,language_excess_vs_translation_control,20+16,0.04574697911739349,-0.1578996627777815,0.23829786561429497,
gemma3_12b,16,false_friend,language_excess_vs_true_friend,20+20,0.05335668921470642,-0.1071365325152874,0.21978139072656622,
gemma3_12b,16,false_friend,language_excess_vs_translation_control,20+16,-0.0037776529788970947,-0.25191294491291044,0.22247265398502347,
gemma3_12b,20,false_friend,language_excess_vs_true_friend,20+20,0.107032972574234,-0.03367870390415191,0.24113248974084853,
gemma3_12b,20,false_friend,language_excess_vs_translation_control,20+16,0.030046758055686948,-0.24622744381427764,0.3073049440979958,
gemma3_12b,24,false_friend,language_excess_vs_true_friend,20+20,0.5884992361068726,-0.05638844214379784,1.2389458167552942,
gemma3_12b,24,false_friend,language_excess_vs_translation_control,20+16,1.0154475323855876,0.38455737600103024,1.7389242172800001,
